Model,Top-1 Acc (%),Params,MACs,BOPs,Latency b1 (ms),Peak Memory (MB)
hbcc_accuracy_medium,94.45,2840862,60651008,0,15.478922889960813,145.56591796875
resnet18_cifar,94.16,11173962,556659712,0,3.059295880011632,326.36474609375
hbcc_accuracy_small,94.0,1538618,35883712,0,13.74585878002108,109.59228515625
shufflenet_v2_x1_0_cifar,91.68,1263854,46128256,0,6.5253828200366115,94.83251953125
mobilenet_v2_cifar,91.04,2236682,25556736,0,5.3330457500123885,123.365234375
coc_cifar_baseline,88.34,2395814,34369600,0,12.46992941996723,71.798828125
hbcc_tiny_hamming_late,,447746,6945344,5120,7.630177199971513,44.390625
hbcc_tiny_lbpconv,,463258,9787456,0,7.570573029952357,116.4501953125
hbcc_current_reference,,870100,52354944,0,7.6768867800274165,173.9931640625
hbcc_latency_tiny,,447746,6945344,0,7.309727370011387,44.390625
hbcc_latency_small,,902932,14923136,0,8.986030680025578,54.13330078125
